700	1	3.16984e+07	3.16984e+07	3.04296e+07	2.47648e+07	2.48867e+07	2.4126e+07	2.32236e+07	2.38714e+07	37.9051	35.7917	35.8642	35.7471	35.763	35.717	35.8125	35.8309	
800	1	2.56865e+07	2.56865e+07	2.3538e+07	2.04529e+07	2.05038e+07	1.9619e+07	1.87639e+07	1.96077e+07	43.3033	40.9363	40.9297	40.9218	40.9174	40.9456	40.8962	40.9073	
900	1	2.14235e+07	2.14235e+07	1.91806e+07	1.67998e+07	1.69272e+07	1.63848e+07	1.53661e+07	1.5583e+07	48.6765	45.9649	46.2659	46.1988	46.1934	46.244	46.1681	46.1963	
1000	1	1.7259e+07	1.7259e+07	1.61096e+07	1.37957e+07	1.4228e+07	1.35243e+07	1.2547e+07	1.28141e+07	54.1655	51.0957	51.2669	51.0681	51.107	51.129	51.0332	51.1237	
1100	1	1.43318e+07	1.43318e+07	1.3176e+07	1.15691e+07	1.19684e+07	1.09943e+07	1.00139e+07	1.05591e+07	59.5338	56.2355	56.3269	56.2187	56.5071	56.4892	56.5143	56.4687	
1200	1	1.19271e+07	1.19271e+07	1.08079e+07	9.8645e+06	9.11794e+06	8.87615e+06	8.69369e+06	9.08125e+06	64.8856	61.2446	61.4132	61.2527	61.4068	61.42	61.3883	61.3325	
100	1	8.57477e+07	8.57477e+07	8.27003e+07	8.17824e+07	8.23664e+07	8.30819e+07	8.24547e+07	8.26153e+07	22.2714	21.2368	21.2303	21.2373	21.2085	21.3267	21.2417	21.2982	
200	1	3.79781e+07	3.79781e+07	3.48668e+07	3.36769e+07	3.31748e+07	3.31893e+07	3.14322e+07	3.04923e+07	44.5976	42.4624	42.4704	42.491	42.4571	42.4496	42.4567	42.473	
300	1	2.2675e+07	2.2675e+07	2.05472e+07	1.9674e+07	1.93605e+07	1.9348e+07	1.8203e+07	1.75257e+07	66.848	63.7396	63.6805	63.6922	63.6649	63.6515	63.7282	63.9456	
400	1	1.54638e+07	1.54638e+07	1.41412e+07	1.36428e+07	1.34496e+07	1.31501e+07	1.28005e+07	1.20406e+07	89.0677	84.9863	84.8733	84.9588	84.827	84.9445	85.0034	84.8948	
500	1	1.13201e+07	1.13201e+07	1.05238e+07	9.91698e+06	9.88937e+06	9.68901e+06	9.52388e+06	9.08205e+06	111.43	106.047	105.918	106.152	106.112	106.155	106.047	106.188	
600	1	8.55443e+06	8.55443e+06	7.98461e+06	7.7422e+06	7.54555e+06	7.45248e+06	7.36447e+06	7.03048e+06	133.688	127.36	127.341	127.338	127.171	127.403	127.384	127.346	
700	1	6.7519e+06	6.7519e+06	6.22812e+06	6.14397e+06	5.99079e+06	5.83142e+06	5.81418e+06	5.61774e+06	155.921	148.492	148.525	148.416	148.511	149.191	149.172	149.055	
800	1	5.39712e+06	5.39712e+06	4.99493e+06	4.91474e+06	4.73298e+06	4.58734e+06	4.65275e+06	4.53067e+06	178.075	169.708	169.636	169.722	169.724	169.852	169.754	169.694	
900	1	4.40732e+06	4.40732e+06	4.10864e+06	4.03345e+06	3.83222e+06	3.71813e+06	3.72659e+06	3.71954e+06	200.531	191.16	190.834	190.922	190.958	191.87	191.211	190.496	
1000	1	3.71889e+06	3.71889e+06	3.50145e+06	3.3532e+06	3.0943e+06	3.01003e+06	3.00961e+06	3.06007e+06	222.324	211.71	211.779	211.696	211.726	211.818	211.766	211.758	
1100	1	3.19842e+06	3.19842e+06	3.03262e+06	2.87333e+06	2.60583e+06	2.46102e+06	2.42951e+06	2.52284e+06	244.553	232.956	232.872	233.384	233.291	233.348	233.594	233.468	
1200	1	2.79015e+06	2.79015e+06	2.67333e+06	2.5306e+06	2.22582e+06	2.08184e+06	2.01514e+06	2.08021e+06	267.314	254.623	254.6	254.68	254.723	254.675	254.817	254.821	
